FID,globalid,uniq_id,timestamp,editor,wardname,wardcode,lganame,lgacode,statename,statecode,idp_hf_prv,idp_hf,idp_am_mdc,tot_hhold,f_pop_60,m_pop_pl60,f_pop18_59,m_pop18_59,f_pop6_17,m_pop6_17,f_pop1_5,m_pop1_5,f_pop_und1,b_pop_und1,site_id,idp_prtb_w,idp_amnts,idp_am_hs,idp_am_med,agncy_cntc,agency_nam,sma_type,site_cls_d,site_opn_d,site_statu,site_type,set_name,alt_st_nam,t_pop_und5,total_pop,pop_source,site_name,x,y
18,cacd3d47-a24f-4d1e-a026-f31d348fea97,6901,2/2/2018 12:00:00 AM,dennis.irorere,Mayo Inne,ADSFUR06,Fufore,2002,Adamawa,AD,Government,Yes,No,14,5,2,16,13,16,13,6,5,2,2,AD_S005,Yes,Yes,Yes,No,0, , ,,,Informal,Camp,Vinikilang, ,0,80,IOM DTM RD24 August 2018,EYN Church Vinikilang,12.284540000021,9.1818799995624
19,cc6c4f16-8414-4a13-9a88-62c13e9224bb,6902,2/2/2018 12:00:00 AM,dennis.irorere,Ngurore,ADSYLA09,Yola South,2021,Adamawa,AD,Local Clinic,Yes,No,162,15,12,145,97,114,104,86,73,40,34,AD_S029,Yes,Yes,Yes,No,0, , ,,,Informal,Camp,Sabon Deal Ngurore, ,0,720,IOM DTM RD24 August 2018,Sabon Deal Ngurore,12.2518499997777,9.28956000009396
20,c88b90b6-e4fe-42c0-b50c-0b603b95fdc0,6903,2/2/2018 12:00:00 AM,dennis.irorere,Mayo Inne,ADSFUR06,Fufore,2002,Adamawa,AD,Local Clinic,Yes,Yes,71,14,20,49,43,99,63,33,38,15,14,AD_S032,Yes,Yes,No,Yes,0, , ,,,Informal,Collective Settlement/Centre,Sengere Dutse, ,0,388,IOM DTM RD24 August 2018,Sengere Dutse,12.3101700002454,9.20366000030884
21,c45af8bf-1986-4e1c-93db-8854a928fd83,6904,2/2/2018 12:00:00 AM,dennis.irorere,Girei 1,ADSGRE04,Girei,2004,Adamawa,AD,Government,Yes,No,76,1,3,61,54,59,72,24,22,6,3,AD_S034,Yes,Yes,No,Yes,0, , ,,,Informal,Collective Settlement/Centre,Nana Villa, ,0,305,IOM DTM RD24 August 2018,Nana Villa,12.513120000088,9.35210000001501
22,80d649f9-9cb7-4feb-b8b8-38ac5585cc78,6905,2/2/2018 12:00:00 AM,dennis.irorere,Pariya,ADSFUR07,Fufore,2002,Adamawa,AD,NGO,Yes,Yes,61,8,6,54,52,77,70,54,52,3,3,AD_S033,Yes,Yes,Yes,Yes,0, , ,,,Informal,Camp,Anguwan Mumuyawa, ,0,379,IOM DTM RD24 August 2018,Anguwan Mumuyawa,12.5971000003648,9.42120000027984
23,a9588343-9f27-4d01-872b-cd2c21b8e580,6906,2/2/2018 12:00:00 AM,dennis.irorere,Adarawo,ADSYLA01,Yola South,2021,Adamawa,AD,Government,Yes,No,18,1,2,11,18,12,14,8,5,6,4,AD_S027,Yes,Yes,Yes,No,0, , ,,,Informal,Collective Settlement/Centre,Dokkitila Wurokhere, ,0,81,IOM DTM RD24 August 2018,Dokkitilla Wurochekke,12.5141200003378,9.20916000033378
24,56151d3a-ebd0-45b9-a322-ccb9164a58a9,6907,2/2/2018 12:00:00 AM,dennis.irorere,Namtari,ADSYLA08,Yola South,2021,Adamawa,AD,Government,Yes,Yes,58,2,1,84,81,85,83,37,33,8,14,AD_S030,Yes,Yes,Yes,Yes,0, , ,,,Informal,Camp,Kilbaje Extension, ,0,428,IOM DTM RD24 August 2018,Kilbaje Extension,12.3826000002898,9.25270000000506
25,c08d210c-3fe8-4360-bb53-db59ece6023d,6908,2/2/2018 12:00:00 AM,dennis.irorere,Fufore,ADSFUR03,Fufore,2002,Adamawa,AD,Government,Yes,Yes,32,2,0,32,31,21,18,34,29,3,2,AD_S031,Yes,Yes,Yes,Yes,0, , ,,,Informal,Collective Settlement/Centre,Wuro Ahi, ,0,172,IOM DTM RD24 August 2018,Wuro Ahi,12.6620899999536,9.2170000003498
26,75afcab5-4093-40c4-b282-45a24df1d749,7117,2/2/2018 12:00:00 AM,dennis.irorere,Kukawa,11709,Kukawa,117,Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S171, , ,Yes, ,0, , ,,,Informal,Camp,Burwa, ,0,0,IOM DTM RD24 August 2018,Junior Primary School,13.5666800002818,12.9250350001652
27,af21571a-e3ad-4c02-8f7d-7bf346f03aea,6909,2/2/2018 12:00:00 AM,dennis.irorere,Modire,ADSGRE08,Girei,2004,Adamawa,AD,Government,Yes,Yes,59,3,2,67,63,58,88,30,34,13,17,AD_S035,No,Yes,Yes,Yes,0, , ,,,Informal,Collective Settlement/Centre,Wadai, ,0,375,IOM DTM RD24 August 2018,Wadai,12.4846399997363,9.30608999975374
28,7d612134-be8c-4cc7-ace6-6744b5d8745b,6910,2/2/2018 12:00:00 AM,dennis.irorere,Maimusari,11301,Jere,113,Borno,BR,Government,Yes,No,31,5,3,42,34,32,27,16,11,7,4,BO_S127,Yes,Yes,No,Yes,0, , ,,, ,Collective Settlement/Centre,Maimusari, ,0,181,IOM DTM RD24 August 2018,Adam Kolo,13.1871499998726,11.8335199997483
29,dd90ef4e-0e2b-46f7-86a7-0d040e1d67a6,6911,2/2/2018 12:00:00 AM,dennis.irorere,Galtimari,11306,Jere,113,Borno,BR,INGO,Yes,Yes,25,4,3,34,23,25,16,10,7,7,4,BO_S148,Yes,Yes,No,Yes,0, , ,,, ,Collective Settlement/Centre,Galtimari, ,0,133,IOM DTM RD24 August 2018,Abulam,13.1513999997103,11.7916299997248
30,8355d94e-d9d6-4d43-ad47-6d17214178e1,6912,2/2/2018 12:00:00 AM,dennis.irorere,Gamboru,12405,Maiduguri,124,Borno,BR,NGO,Yes,Yes,47,4,3,53,44,43,35,28,23,6,4,BO_S147,Yes,Yes,No,Yes,0, , ,,, ,Collective Settlement/Centre,Gamboru, ,0,243,IOM DTM RD24 August 2018,Allamin Dagash Garage,13.1679700003153,11.8573699997257
31,85d15d73-d535-4354-93c4-6261b8195b5b,6913,2/2/2018 12:00:00 AM,dennis.irorere,Maisandari,12413,Maiduguri,124,Borno,BR,INGO,Yes,Yes,47,4,2,46,38,39,32,15,12,9,7,BO_S116,Yes,Yes,Yes,Yes,0, , ,,, ,Collective Settlement/Centre,Kaigama, ,0,204,IOM DTM RD24 August 2018,Awulam Camp,13.1342500002374,11.789899999985
32,9f750c0b-b05b-4212-aa0c-cf595b20abc7,7137,2/2/2018 12:00:00 AM,dennis.irorere,Kadarko,PLSWAS07,Wase,32017,Plateau,PL, , , ,0,0,0,0,0,0,0,0,0,0,0,PL_S009, , , , ,0, , ,,,Informal,Collective Settlement/Centre,Ungwan Galadima, ,0,0,IOM DTM RD24 August 2018,Ungwan Galadima,9.95890000033478,9.09979999967032
33,70386af6-0135-4686-8140-d266af8d2909,6914,2/2/2018 12:00:00 AM,dennis.irorere,Maisandari,12413,Maiduguri,124,Borno,BR,INGO,Yes,Yes,24,1,1,17,16,20,15,6,4,6,2,BO_S105,Yes,Yes,Yes,Yes,0, , ,,, ,Collective Settlement/Centre,Kaigama, ,0,88,IOM DTM RD24 August 2018,Ali Dawari Camp 1,13.1327799998971,11.7906700004202
34,537e102a-4a0b-4912-854a-69570ba5ea56,6915,2/2/2018 12:00:00 AM,dennis.irorere,Maisandari,12413,Maiduguri,124,Borno,BR,INGO,Yes,Yes,21,5,1,13,12,13,10,10,8,5,5,BO_S104,Yes,Yes,Yes,Yes,0, , ,,, ,Collective Settlement/Centre,Kaigama, ,0,82,IOM DTM RD24 August 2018,Ali Dawari Camp 2,13.132920000058,11.7902499999376
35,34356b35-391f-4316-a078-9c2221ad83f8,7119,2/2/2018 12:00:00 AM,dennis.irorere,Gajiram,12604,Nganzai,126,Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S156, , ,No, ,0, , ,,, ,Collective Settlement/Centre,Balamari, ,0,0,IOM DTM RD24 August 2018,Kasudinna Camp,13.2172700003103,12.4899900000385
36,991b89a2-f6ca-4bfe-9dcf-1c7f2cff8278,6916,2/2/2018 12:00:00 AM,dennis.irorere,Maisandari,12413,Maiduguri,124,Borno,BR,INGO,Yes,Yes,56,8,6,61,50,44,36,29,24,10,9,BO_S115,Yes,Yes,No,Yes,0, , ,,, ,Collective Settlement/Centre,Kaigama, ,0,277,IOM DTM RD24 August 2018,Ajiri,13.1331000002648,11.7936900002933
37,a41b2e1b-96e9-4014-82eb-314410408eb7,6917,2/2/2018 12:00:00 AM,dennis.irorere,Damboa,10703,Damboa,107,Borno,BR,INGO,Yes,Yes,1176,126,106,898,724,811,463,346,233,80,74,BO_S090,Yes,Yes,Yes,Yes,0, , ,,, ,Collective Settlement/Centre,Damboa Town, ,0,3861,IOM DTM RD24 August 2018,Central Primary School Damboa,12.7567299998896,11.1613199998182
38,1b83b6f4-c07a-487f-8c5e-dae571e23225,6918,2/2/2018 12:00:00 AM,dennis.irorere,Bolori 2,12402,Maiduguri,124,Borno,BR,NGO,Yes,Yes,12,1,1,19,14,19,16,10,9,3,2,BO_S157,Yes,Yes,Yes,Yes,0, , ,,, ,Collective Settlement/Centre,Bolori Gana, ,0,94,IOM DTM RD24 August 2018,Dala Standard,13.1190699998807,11.8805700003053
39,cefed926-2df4-44d4-8f98-10be79d25fce,6919,2/2/2018 12:00:00 AM,dennis.irorere,Maisandari,12413,Maiduguri,124,Borno,BR,INGO,Yes,No,46,8,6,54,44,39,32,25,21,10,7,BO_S155,Yes,Yes,Yes,Yes,0, , ,,, ,Camp,Kaigama, ,0,246,IOM DTM RD24 August 2018,Busugu,13.1326090001053,11.7926380003435
40,1fea398a-5e1b-4d3b-a316-2276a562775f,6920,2/2/2018 12:00:00 AM,dennis.irorere,Maisandari,12413,Maiduguri,124,Borno,BR,INGO,Yes,Yes,25,2,2,20,17,15,13,7,6,5,3,BO_S107,Yes,Yes,No,Yes,0, ,Government,,, ,Collective Settlement/Centre,Kaigama, ,0,90,IOM DTM RD24 August 2018,Bulabrin,13.1335300003093,11.7895799996173
41,22c40294-7487-4cd0-b8d4-3895025dee1b,6921,2/2/2018 12:00:00 AM,dennis.irorere,Bolori 2,12402,Maiduguri,124,Borno,BR,INGO,Yes,Yes,41,6,7,65,48,63,41,39,28,14,10,BO_S130,No,Yes,Yes,Yes,0, ,Individual/Private,,, ,Collective Settlement/Centre,Bolori Gana, ,0,321,IOM DTM RD24 August 2018,Dogongida Camp,13.1193900002484,11.8786800003817
42,d933574f-b3ae-489a-9ea9-fde42fd2a2ce,6922,2/2/2018 12:00:00 AM,dennis.irorere,Monguno,12307,Monguno,123,Borno,BR,INGO,Yes,Yes,1078,90,74,1109,907,959,785,659,539,180,147,BO_S094,Yes,Yes,No,Yes,0, ,Government,,, ,Collective Settlement/Centre,Gana Ali, ,0,5449,IOM DTM RD24 August 2018,Gana Ali,13.6248399996663,12.6714099998716
43,9ab89ee5-2b65-41f4-8dae-9fb8a192b093,6923,2/2/2018 12:00:00 AM,dennis.irorere,Lamisula,12410,Maiduguri,124,Borno,BR,Government,Yes,Yes,38,3,2,52,42,36,29,27,22,6,5,BO_S106,Yes,Yes,Yes,Yes,0, , ,,, ,Collective Settlement/Centre,Lamisula, ,0,224,IOM DTM RD24 August 2018,Gidan Mandara,13.1509699996658,11.8556100004013
44,14e5ba8d-5373-405b-b631-473a6df3f4fd,6924,2/2/2018 12:00:00 AM,dennis.irorere,Galtimari,11306,Jere,113,Borno,BR,INGO,Yes,Yes,12,2,2,14,11,10,8,7,4,3,1,BO_S069,Yes,Yes,Yes,Yes,0, , ,,, ,Collective Settlement/Centre,Old GRA, ,0,62,IOM DTM RD24 August 2018,Gombole Site,13.1651820003491,11.8035380002785
45,c9e635f3-f025-4cda-a71c-1d4433e8e651,7098,2/2/2018 12:00:00 AM,dennis.irorere,Galtimari,11306,Jere,113,Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S120, , ,Yes, ,0, , ,,, ,Collective Settlement/Centre,Fori Lawanti, ,0,0,IOM DTM RD24 August 2018,Gidan Yan Manguno,13.1764569995909,11.8066429995748
46,55f25eb2-0a7a-4d00-81ff-9ccbd05f8fcb,6928,2/2/2018 12:00:00 AM,dennis.irorere,Mairi,11309,Jere,113,Borno,BR,Government,Yes,Yes,16,2,1,22,14,19,9,9,4,4,2,BO_S131,Yes,Yes,No,No,0, , ,,, ,Collective Settlement/Centre,Mairi Central, ,0,86,IOM DTM RD24 August 2018,Layin Elka,13.1893800001869,11.8200299999846
47,28fd49ce-8892-44c7-ab10-cce881b12cf4,6929,2/2/2018 12:00:00 AM,dennis.irorere,Dikwa,10803,Dikwa,108,Borno,BR,INGO,Yes,Yes,1224,67,45,1272,984,1118,744,657,528,120,107,BO_S139,Yes,Yes,No,No,0, , ,,, ,Collective Settlement/Centre,Shehu Sanda, ,0,5642,IOM DTM RD24 August 2018,Mohammed Kyarimi,13.9118770002235,12.0418969998467
48,f90da49a-680d-4dfc-8421-6baf8affc54e,6933,2/2/2018 12:00:00 AM,dennis.irorere,Dusuman,11307,Jere,113,Borno,BR,Local Clinic,Yes,Yes,80,8,5,96,78,77,62,51,41,11,8,BO_S033,Yes,Yes,Yes,Yes,0, , ,9/2/2014 12:00:00 AM,9/2/2014 12:00:00 AM,Open,Camp,Muna Kumburi,Muna Primary,0,437,IOM DTM RD24 August 2018,Muna Kumburi GDSS,13.2362139098441,11.866528670262
49,b5167787-c554-4806-8789-94775f6e8ea1,6934,2/2/2018 12:00:00 AM,dennis.irorere,Mairi,11309,Jere,113,Borno,BR,Government,Yes,Yes,4426,425,390,5262,4795,4559,3867,3524,2456,1053,850,BO_S016,Yes,Yes,Yes,Yes,8029600322,SEMA/NEMA/NGO,Government,3/23/2015 12:00:00 AM,3/23/2015 12:00:00 AM,Open,Collective Settlement/Centre,Dalori Idp Camp,Dalori Idp Camp,0,27181,IOM DTM RD24 August 2018,Federal Training Center Camp,13.2235355797033,11.7787529895589
50,83e95a11-3cbd-4408-b082-abda64dd8b0f,6935,2/2/2018 12:00:00 AM,dennis.irorere,Maisandari,12413,Maiduguri,124,Borno,BR,INGO,Yes,Yes,6308,450,369,4832,3954,3596,2942,1798,1471,562,459,BO_S010,Yes,Yes,Yes,Yes,8065379002,NEMA,Government,1/29/2015 12:00:00 AM,1/29/2015 12:00:00 AM,Open,Camp,Bakassi IDP Camp,Bakasi Camp,0,20433,IOM DTM RD24 August 2018,Bakassi IDPs Camp,13.118205940252,11.7901870401998
51,3b601459-06f4-4dd8-a4d5-c8a89d873dab,6936,2/2/2018 12:00:00 AM,dennis.irorere,Galtimari,11306,Jere,113,Borno,BR,INGO,Yes,Yes,45,13,9,62,49,45,36,29,24,8,5,BO_S004,Yes,Yes,Yes,Yes,0, ,INGO,9/1/2014 12:00:00 AM,9/1/2014 12:00:00 AM,Open,Collective Settlement/Centre,Galtimari,Bale Galtimari Primary School,0,280,IOM DTM RD24 August 2018,Galtimari Primary School IDP Camp,13.1732328698012,11.8052543896784
52,5d56ac72-11da-4d39-bab3-7f7bb3a263bf,7118,2/2/2018 12:00:00 AM,dennis.irorere,Benisheikh,11401,Kaga,114,Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0,BO_S161, , ,Yes, ,0, , ,,,Informal,Camp,Bulama Bukar Kolo, ,0,0,IOM DTM RD24 August 2018,Low Cost 2,12.4947799996973,11.8009099995969
53,b5400611-9bdf-4eb7-8987-c1a8813b21d9,6937,2/2/2018 12:00:00 AM,dennis.irorere,Old Maiduguri,11311,Jere,113,Borno,BR,Government,Yes,Yes,1046,51,56,1342,1055,875,776,499,460,104,109,BO_S003,Yes,Yes,Yes,Yes,8035038011,NEMA,Government,1/3/2015 12:00:00 AM,1/3/2015 12:00:00 AM,Open,Camp,Madinatu,Madinatu Camp,0,5327,IOM DTM RD24 August 2018,Madinatu Primary School IDP Camp,13.1807196898619,11.8772516503435
54,7ca9bca8-0e6d-4c0f-bd4a-d98a3ec6bdaa,6938,2/2/2018 12:00:00 AM,dennis.irorere,Mafoni,12412,Maiduguri,124,Borno,BR,Government,Yes,Yes,451,47,42,455,365,347,303,190,179,97,88,BO_S013,Yes,Yes,Yes,Yes,8064860081,NEMA,Government,1/19/2015 12:00:00 AM,1/19/2015 12:00:00 AM,Open,Collective Settlement/Centre,Mafoni,Mogcolis Camp,0,2113,IOM DTM RD24 August 2018,Mogcoli IDP Camp,13.1490126297291,11.8452060404265
55,94945099-f6b5-402e-8004-98da51c450b5,6939,2/2/2018 12:00:00 AM,dennis.irorere,Maisandari,12413,Maiduguri,124,Borno,BR,INGO,Yes,Yes,1679,101,83,1426,1167,1028,841,564,461,199,162,BO_S009,Yes,Yes,Yes,Yes,8067170121,NEMA,Government,6/16/2014 12:00:00 AM,6/16/2014 12:00:00 AM,Open,Collective Settlement/Centre,Moduganari,NYSC Camp Borno,0,6032,IOM DTM RD24 August 2018,NYSC IDP Camp,13.1185351298924,11.8258180798406
56,08bd482b-b48d-4eba-9725-5fd8720cc242,6940,2/2/2018 12:00:00 AM,dennis.irorere,Njiwaji / Gwange,70309,Damaturu,703,Yobe,YO, , , ,0,0,0,0,0,0,0,0,0,0,0,YB_S001, , ,No,Yes,0, ,Government,,,Formal,Camp,Pompomari Primary School, ,0,0,IOM DTM RD24 August 2018,Pompomari Pry School,11.9671000003648,11.7472000003797
57,b4362163-2fa5-445e-8cda-52ca3cfff048,6941,2/2/2018 12:00:00 AM,dennis.irorere,Kukareta Warsala,70306,Damaturu,703,Yobe,YO,Government,Yes,Yes,883,46,38,1888,1110,483,467,401,374,273,218,YB_S003,Yes,Yes,No,Yes,0, , ,,,Formal,Collective Settlement/Centre,Kukareta Pri School, ,0,5298,IOM DTM RD24 August 2018,Kukareta Pri School,12.1815000003248,11.73360000004
58,22423bf0-d9bb-4eea-960f-41d3fe492fd7,6943,2/2/2018 12:00:00 AM,dennis.irorere,Gambir Moduri,70304,Damaturu,703,Yobe,YO,NGO,Yes,Yes,374,38,31,752,424,192,186,173,162,148,132,YB_S005,Yes,Yes,Yes,Yes,0, , ,,,Informal,Collective Settlement/Centre,Kasaisa Village, ,0,2238,IOM DTM RD24 August 2018,Kasaisa Village,11.9355000000251,11.6633000001949
59,e4ce3aba-f4eb-4db0-a382-d4bfa3b1de2f,7183,2/2/2018 12:00:00 AM,adanna.alex,Gajiram,12604,Nganzai,126,Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, , ,Gajiram, ,0,0,eHA_Polio,Gajiram Secretariate Complex,13.2114629996178,12.4863349996605
60,1c86ecef-631e-4239-9e02-93b9405a56e7,6944,2/2/2018 12:00:00 AM,dennis.irorere,Damakasu,70302,Damaturu,703,Yobe,YO,Government,Yes,No,118,11,9,230,168,58,54,52,43,45,38,YB_S006,Yes,Yes,No,No,0, , ,,,Informal,Camp,Huri Village, ,0,708,IOM DTM RD24 August 2018,Huri Village Camp,12.0926999999051,11.7895000004247
61,876c0dca-1eb0-43b6-ad33-2a211971f8b7,7185,2/2/2018 12:00:00 AM,adanna.alex,Jigalta,12606,Nganzai,126,Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, , ,Along Monguno Road, ,0,0,eHA_Polio,Jigalta Ward,13.315968000323,12.6008129998201
62,c6b8d89c-cf5f-4f89-84ea-ba54d3c9b0f2,6945,2/2/2018 12:00:00 AM,dennis.irorere,Kona,TRSJAL03,Jalingo,35007,Taraba,TA,Government,Yes,Yes,92,2,3,120,90,150,110,45,25,15,10,TR_S003,No,Yes,Yes,Yes,0, , ,,,Informal,Collective Settlement/Centre,Murtai, ,0,570,IOM DTM RD24 August 2018,Murtai Camp,11.273500000125,9.03940000040973
63,fa651ab5-d77e-45c0-9d9d-7dbe04581a19,6946,2/2/2018 12:00:00 AM,dennis.irorere,Kona,TRSJAL03,Jalingo,35007,Taraba,TA,Government,Yes,Yes,76,6,4,50,40,100,90,42,28,12,8,TR_S018,No,Yes,Yes,Yes,0, , ,,,Informal,Collective Settlement/Centre,Gullum Clinic Camp, ,0,380,IOM DTM RD24 August 2018,Gullum Clinic Camp,11.3267000001049,8.95170000035478
